NNDSS_-_TABLE_1W._Meningococcal_disease__All_serogroups_to_Meningococcal_disease__Serogroup_B
Reporting Area,MMWR Year,MMWR Week,"Meningococcal disease, All serogroups, Current week","Meningococcal disease, All serogroups, Current week, flag","Meningococcal disease, All serogroups, Previous 52 weeks Max†","Meningococcal disease, All serogroups, Previous 52 weeks Max†, flag","Meningococcal disease, All serogroups, Cum 2022†","Meningococcal disease, All serogroups, Cum 2022†, flag","Meningococcal disease, All serogroups, Cum 2021†","Meningococcal disease, All serogroups, Cum 2021†, flag","Meningococcal disease, Serogroups ACWY, Current week","Meningococcal disease, Serogroups ACWY, Current week, flag","Meningococcal disease, Serogroups ACWY, Previous 52 weeks Max†","Meningococcal disease, Serogroups ACWY, Previous 52 weeks Max†, flag","Meningococcal disease, Serogroups ACWY, Cum 2022†","Meningococcal disease, Serogroups ACWY, Cum 2022†, flag","Meningococcal disease, Serogroups ACWY, Cum 2021†","Meningococcal disease, Serogroups ACWY, Cum 2021†, flag","Meningococcal disease, Serogroup B, Current week","Meningococcal disease, Serogroup B, Current week, flag","Meningococcal disease, Serogroup B, Previous 52 weeks Max†","Meningococcal disease, Serogroup B, Previous 52 weeks Max†, flag","Meningococcal disease, Serogroup B, Cum 2022†","Meningococcal disease, Serogroup B, Cum 2022†, flag","Meningococcal disease, Serogroup B, Cum 2021†","Meningococcal disease, Serogroup B, Cum 2021†, flag",Location 1,Location 2,Reporting Area Sort,geocode
LOUISIANA,2022,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,LOUISIANA,,202200545,POINT (-91.840238 30.921314)
SOUTH DAKOTA,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH DAKOTA,,202200527,POINT (-100.230491 44.43614)
CALIFORNIA,2022,5,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,CALIFORNIA,,202200559,POINT (-119.662127 37.211164)
NEVADA,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEVADA,,202200553,POINT (-114.916992 39.283294)
NEBRASKA,2022,5,,-,1,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,NEBRASKA,,202200525,POINT (-99.810595 41.527099)
WEST NORTH CENTRAL,2022,5,,-,1,,1,,1,,,-,1,,,-,,-,,-,0,,,-,,-,,WEST NORTH CENTRAL,202200520,
ALASKA,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALASKA,,202200558,POINT (-151.631889 63.631126)
SOUTH CAROLINA,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,SOUTH CAROLINA,,202200535,POINT (-80.864614 33.878572)
TOTAL,2022,5,4,,8,,22,,17,,,-,4,,,-,2,,,-,2,,1,,2,,,TOTAL,202200570,
NORTHERN MARIANA ISLANDS,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,202200565,POINT (145.725693 15.1834)
AMERICAN SAMOA,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,AMERICAN SAMOA,,202200564,
GUAM,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,202200566,POINT (144.653198 13.3532)
NORTH DAKOTA,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTH DAKOTA,,202200526,POINT (-100.46931 47.446305)
MISSISSIPPI,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSISSIPPI,,202200541,POINT (-89.65344 32.713378)
WEST SOUTH CENTRAL,2022,5,,-,2,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,,WEST SOUTH CENTRAL,202200543,
WASHINGTON,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WASHINGTON,,202200562,POINT (-120.592492 47.411715)
MAINE,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,MAINE,,202200504,POINT (-69.06137 45.117911)
RHODE ISLAND,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,RHODE ISLAND,,202200507,POINT (-71.534637 41.572574)
CONNECTICUT,2022,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,CONNECTICUT,,202200503,POINT (-72.738288 41.575155)
IOWA,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IOWA,,202200521,POINT (-93.500061 42.074659)
NEW YORK,2022,5,,-,2,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,NEW YORK,,202200511,POINT (-75.59655 42.921241)
KENTUCKY,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KENTUCKY,,202200540,POINT (-85.290484 37.526683)
SOUTH ATLANTIC,2022,5,2,,5,,9,,2,,,-,1,,,-,,-,,-,1,,,-,,-,,SOUTH ATLANTIC,202200528,
NEW JERSEY,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW JERSEY,,202200510,POINT (-74.655514 40.110253)
MARYLAND,2022,5,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MARYLAND,,202200533,POINT (-76.687282 38.946466)
VERMONT,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VERMONT,,202200508,POINT (-72.662695 44.075252)
U.S. VIRGIN ISLANDS,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,U.S. VIRGIN ISLANDS,,202200568,
MINNESOTA,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MINNESOTA,,202200523,POINT (-94.198308 46.349153)
EAST SOUTH CENTRAL,2022,5,1,,1,,4,,1,,,-,0,,,-,,-,,-,0,,,-,,-,,EAST SOUTH CENTRAL,202200538,
VIRGINIA,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGINIA,,202200536,POINT (-78.666382 37.510861)
ALABAMA,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ALABAMA,,202200539,POINT (-86.844516 32.756889)
NEW ENGLAND,2022,5,,-,1,,,-,2,,,-,1,,,-,1,,,-,1,,,-,1,,,NEW ENGLAND,202200502,
NEW MEXICO,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW MEXICO,,202200554,POINT (-106.108388 34.421369)
WEST VIRGINIA,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WEST VIRGINIA,,202200537,POINT (-80.613729 38.642579)
MICHIGAN,2022,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,MICHIGAN,,202200517,POINT (-85.730977 44.874798)
DISTRICT OF COLUMBIA,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DISTRICT OF COLUMBIA,,202200530,POINT (-77.016275 38.904785)
NORTH CAROLINA,2022,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,NORTH CAROLINA,,202200534,POINT (-79.130883 35.52603)
WYOMING,2022,5,,-,0,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,WYOMING,,202200556,POINT (-107.55145 42.999627)
TENNESSEE,2022,5,1,,1,,4,,1,,,-,0,,,-,,-,,-,0,,,-,,-,TENNESSEE,,202200542,POINT (-86.343226 35.842998)
WISCONSIN,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,WISCONSIN,,202200519,POINT (-89.732969 44.639954)
KANSAS,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,KANSAS,,202200522,POINT (-98.38018 38.484729)
PUERTO RICO,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,202200567,POINT (-66.414655 18.215692)
ARIZONA,2022,5,1,,1,,1,,1,,,-,1,,,-,1,,,-,0,,,-,,-,ARIZONA,,202200549,POINT (-111.664616 34.293239)
TEXAS,2022,5,,-,2,,,-,1,,,-,1,,,-,,-,,-,0,,,-,,-,TEXAS,,202200547,POINT (-99.317341 31.447238)
DELAWARE,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,DELAWARE,,202200529,POINT (-75.452394 38.994926)
ARKANSAS,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,ARKANSAS,,202200544,POINT (-92.439162 34.899825)
COLORADO,2022,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,COLORADO,,202200550,POINT (-105.547832 38.998552)
HAWAII,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,HAWAII,,202200560,POINT (-157.854309 21.361013)
MISSOURI,2022,5,,-,1,,1,,,-,,-,0,,,-,,-,,-,0,,,-,,-,MISSOURI,,202200524,POINT (-92.477244 38.3675)
OHIO,2022,5,,-,1,,1,,2,,,-,1,,,-,,-,,-,1,,1,,1,,OHIO,,202200518,POINT (-82.70936 40.415534)
MIDDLE ATLANTIC,2022,5,,-,4,,5,,4,,,-,1,,,-,,-,,-,1,,,-,,-,,MIDDLE ATLANTIC,202200509,
INDIANA,2022,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,INDIANA,,202200516,POINT (-86.2818 39.919991)
MONTANA,2022,5,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,MONTANA,,202200552,POINT (-109.645127 47.033521)
GEORGIA,2022,5,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,GEORGIA,,202200532,POINT (-83.426574 32.638481)
OKLAHOMA,2022,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,0,,,-,,-,OKLAHOMA,,202200546,POINT (-97.508297 35.583449)
PACIFIC,2022,5,,-,1,,1,,2,,,-,1,,,-,,-,,-,1,,,-,,-,,PACIFIC,202200557,
OREGON,2022,5,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,,-,,-,OREGON,,202200561,POINT (-120.605279 43.940449)
NEW HAMPSHIRE,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NEW HAMPSHIRE,,202200506,POINT (-71.57139 43.680429)
IDAHO,2022,5,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,IDAHO,,202200551,POINT (-114.659366 44.389073)
FLORIDA,2022,5,2,,5,,9,,1,,,-,1,,,-,,-,,-,1,,,-,,-,FLORIDA,,202200531,POINT (-82.420978 28.260731)
NEW YORK CITY,2022,5,,-,2,,2,,1,,,-,0,,,-,,-,,-,0,,,-,,-,NEW YORK CITY,,202200512,
